codeid;signatures;contract_type;permit_check
667159884;['32864531', '409e88d7'];Unknown;permit function missing
1197100791;['1e7be210', '3197cbb6', '3bd74880', '4042b66f', '42e94c90', '47535d7b', '4bb278f3', '6baa9575', '715018a6', '78e97925', '8da5cb5b', 'bc6e6604', 'c8eaf28f', 'e37670a9', 'ecb70fb7', 'f2fde38b', 'fc0c546a'];Unknown;permit function missing
224138185;['06fdde03', '313ce567', '70a08231', '95d89b41', 'a9059cbb'];ERC20+ERC721+ERC777+ERC3525;permit function missing
280014220;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '42966c68', '70a08231', '79cc6790', '8da5cb5b', '95d89b41', 'a9059cbb', 'b414d4b6', 'cae9ca51', 'dd62ed3e', 'deddab12', 'e724529c', 'f2fde38b'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
1509463536;['143a08d4', '1c2872aa', '73805ae2', '9e6ae5a0', 'bfa25308', 'dc3bfba9', 'dde4bec0', 'e02dcb17', 'e6abb5ae', 'ede4c0cc', 'f1374d18', 'f851a440'];Unknown;permit function missing
317955353;['04bbc255', '16f4d022', '18a4155e', '55c081d4', '69ea1771', '84e3ac94', '8da5cb5b', '8e768288', 'f14ae17d', 'f2fde38b'];Unknown;permit function missing
329036574;['18978e82', '630f1e6c', '8da5cb5b', '9395525c', 'f2fde38b'];Unknown;permit function missing
299386567;['14f6c8da', '169f66df', '277a6889', '44fcbd79', '4d68282f', '4de16053', '5b225526', '5fe07013', '64e7e4a4', '7b9b9c89', '7ea46993', '89952c89', '90f549ba', '94493c43', '9ac3317b', 'c29ab95b', 'c3b75b8f', 'c57c3bbd', 'c6d8f0c4', 'e18a9134', 'e91e13a9', 'f38a8262', 'f4dadc61'];Unknown;permit function missing
923468946;[];Unknown;permit function missing
1100859886;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '70a08231', '95d89b41', 'a9059cbb', 'dd62ed3e'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
196977967;[];Unknown;permit function missing
1064618062;['0184e5bc', '01e33667', '132b4194', '1ec32d15', '248a9ca3', '28831187', '2f2ff15d', '3481d9bd', '36568abe', '37b5ffdf', '3a7fb595', '3f4ba83a', '485cc955', '4a5c82e0', '54fd4d50', '5c975abb', '652b2535', '70323b21', '788bff68', '8456cb59', '9010d07c', '91d14854', 'a217fddf', 'ab2c854d', 'c8796572', 'ca15c873', 'd547741f', 'e0040bea', 'e63ab1e9', 'ec87621c', 'f91564af', 'fc0c546a'];Unknown;permit function missing
135619911;['41c0e1b5', 'b4a99a4e', 'e28e4579'];Unknown;permit function missing
982188380;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '27e235e3', '313ce567', '5c658165', '70a08231', '95d89b41', 'a9059cbb', 'dd62ed3e'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
535998974;['6ba7c33b', 'c4552791'];Unknown;permit function missing
919739587;['06fdde03', '095ea7b3', '18160ddd', '23b872dd', '313ce567', '39509351', '70a08231', '715018a6', '7251cd02', '8da5cb5b', '8f32d59b', '95d89b41', 'a457c2d7', 'a9059cbb', 'b003b127', 'c3501ff6', 'dd62ed3e', 'f2fde38b'];ERC20+ERC721+ERC777+ERC2309+ERC3525;permit function missing
