BALANCE_LIMITER_ROLE()
IsFreezedAccount(address)
IsFrozen()
IsGAactive(address)
IsGenesisAddress(address)
IsICONotStarted()
IsICOOver()
IsICOrunning()
IsICOstarted()
IsIcoTime()
IsInitAssign()
IsIssueTime()
IsIssuer(address)
IsLockAddress(address)
IsLotteryAvailable()
IsMultiFreeze(address,address[],bool)
IsOwner(address)
IsPreSaleEnabled()
IsReleaseToken()
IsSaleEnabled()
IsSalesFinalized()
IsStopped()
IsTradeable()
IsTransferEnable()
IsTransferFromOldContractDone()
IsTransferTempFromOldContractDone()
IsTransferable(address)
IsWhiteListContract(address)
IsWhitelisted(address)
IssuancePrice()
IssuanceStart()
Issuser()
IstriumToken(address)
TOTAL()
TOTALCAP()
TOTALSUPPLY()
TOTAL_ALLOCATED()
TOTAL_CAP()
TOTAL_COMMUNITY_ALLOCATION()
TOTAL_CROWDSALE_FUND()
TOTAL_GONS()
TOTAL_LARE_FOR_SALE()
TOTAL_MINING_DEPOSIT_LIMIT()
TOTAL_MINTABLE_MINTED()
TOTAL_NUM_TOKENS()
TOTAL_PERCENTAGE()
TOTAL_PERCRENTS()
TOTAL_PRESALE_TOKENS()
TOTAL_PRIMORDIAL_FOR_SALE()
TOTAL_RESERVE_FUND()
TOTAL_SOLD_TOKEN_SUPPLY_LIMIT()
TOTAL_SUPPLY()
TOTAL_SUPPLY_ACES()
TOTAL_SUPPLY_BOTTOM_BOUND()
TOTAL_SUPPLY_CAP()
TOTAL_SUPPLY_LIMIT()
TOTAL_SUPPLY_UPPER_BOUND()
TOTAL_SUPPLY_VALUE()
TOTAL_TOKEN()
TOTAL_TOKENS()
TOTAL_TOKEN_AMOUNT()
TOTAL_TOKEN_CAP()
TOTAL_TOKEN_SUPPLY()
TOTAL_TOKENs_SUPPLY()
TOTAL_VALUE()
TOTAL_XB_TOKEN_FOR_PRE_SALE()
TotalAgreeVotes()
TotalAirdropRequests()
TotalBurnedLpTokens()
TotalCMD()
TotalCrowdsaleContributions()
TotalCrowdsaleSupply()
TotalDEFLCTContributedPersonalPercentage()
TotalDisagreeVotes()
TotalDividendsPerShare()
TotalEDUSupply()
TotalERC20Amount_LuToken()
TotalETHGivenToNorthPole()
TotalFeesReceived()
TotalGenesisAddresses()
TotalHoldersAmount()
TotalICOSupply()
TotalIcoDist()
TotalLocked()
TotalOwnerSupply()
TotalPoSRequests()
TotalReward()
TotalRewardsForLP()
TotalSantaCoinsGivenByNorthPole()
TotalSupply()
TotalSupply(uint256)
TotalSupplyAmount(address,uint256)
TotalSupplyInitDone()
TotalToLock()
TotalTokenHolders()
TotalTokenSupply()
TotalTokens()
TotalYMENContributedPersonalPercentage()
TotalpresaleSupply()
Totalsupply()
balance()
balance(address)
balance(uint256)
balance1()
balanceAave()
balanceAaveAvailable()
balanceAddress()
balanceAll(address)
balanceApprovedForToken(address,address)
balanceAt(address,uint256)
balanceAtBlock(address,uint256)
balanceAvailable(address)
balanceAvailableTokens(address)
balanceBlockNumbers(address,uint256)
balanceBlockOf(address)
balanceBlocks(address,uint256)
balanceBlocksIn(address,uint256,uint256)
balanceByDividends(address,uint256)
balanceById(uint256)
balanceByTime(address,uint256)
balanceCHFOf(address)
balanceCap()
balanceCompound()
balanceCompoundAvailable()
balanceCompoundInToken()
balanceController()
balanceDetails(address)
balanceDydx()
balanceDydxAvailable()
balanceETH()
balanceEth(address)
balanceEthCrowd(address)
balanceEthPrivate(address)
balanceEther()
balanceFor(address,address)
balanceForGons(uint256)
balanceFrozenTokens(address)
balanceFulcrum()
balanceFulcrumAvailable()
balanceFulcrumInToken()
balanceGive()
balanceInSpecificTranche(uint256)
balanceInStrategy()
balanceInTranche()
balanceInUnderlying(address)
balanceInUniswapPair(address,address)
balanceInUniswapPairs(address)
balanceInVault()
balanceInWei()
balanceIncludingUniswapPairs(address)
balanceInfo(address)
balanceInfoOf(address)
balanceLP()
balanceLimit()
balanceList(uint256)
balanceLocked(address)
balanceLockedUp(address)
balanceLocks(address)
balanceLode(address)
balanceMap(address)
balanceMinusFeesOutstanding()
balanceOf()
balanceOf(address)
balanceOf(address,address)
balanceOf(address,uint256)
balanceOf(bytes32)
balanceOf(string)
balanceOf(uint256)
balanceOf1(address)
balanceOf2(address)
balanceOfAddress(address)
balanceOfAkro(address)
balanceOfAll(address)
balanceOfAt(address,uint128)
balanceOfAt(address,uint256)
balanceOfAtBlock(address,uint256)
balanceOfAtTermEnd(address,uint256)
balanceOfAvailable(address)
balanceOfBank(address)
balanceOfBase(address)
balanceOfBasic(address)
balanceOfBatch(address[],uint256[])
balanceOfBonded(address)
balanceOfBonds(address,uint256)
balanceOfBtc(address)
balanceOfByAccountId(uint256)
balanceOfByPartition(bytes32,address)
balanceOfCDSDBonded(address)
balanceOfCoin(uint16)
balanceOfContract()
balanceOfCouponUnderlying(address,uint256)
balanceOfCoupons(address,uint256)
balanceOfCrowd(address)
balanceOfDeep(address)
balanceOfDef(address)
balanceOfDenominatedInDai(address)
balanceOfDiggEquivalentInSettAndStrategy()
balanceOfETH()
balanceOfETH(address)
balanceOfEther()
balanceOfFeeAddress()
balanceOfFreezed(address)
balanceOfFrozen(address)
balanceOfHashedAddress(bytes)
balanceOfInShares(address)
balanceOfInValut()
balanceOfInvestor(address)
balanceOfKyCToBeApproved(address)
balanceOfLock(address)
balanceOfLock(uint256)
balanceOfLockAt(uint256,uint256)
balanceOfLocked(address)
balanceOfLocked1Y(address)
balanceOfLocked2Y(address)
balanceOfLockup()
balanceOfLockup(address)
balanceOfMe()
balanceOfMine()
balanceOfNoFees(address)
balanceOfNoVesting(address)
balanceOfOld(address)
balanceOfOn()
balanceOfOnForHolder(address)
balanceOfOnForHolderUpdate(address,uint256)
balanceOfOnUpdate(bool)
balanceOfOwner()
balanceOfOwnerInVault(address,address)
balanceOfPerson(string)
balanceOfPositions(address)
balanceOfPretty(address)
balanceOfPrivate(address)
balanceOfProxy(address,address)
balanceOfRaw(address)
balanceOfRaws(address)
balanceOfReal(address)
balanceOfReg(address)
balanceOfReward(address,address)
balanceOfRoutingCode(bytes32)
balanceOfStaged(address)
balanceOfStaker(address)
balanceOfTarget(address)
balanceOfTheContract()
balanceOfTimeLocked(address)
balanceOfTimelocked(address)
balanceOfToken()
balanceOfToken(address)
balanceOfToken(address,address)
balanceOfToken(address,uint256)
balanceOfTokenCirculation(address)
balanceOfTokens()
balanceOfTotal(address)
balanceOfTotalUnclaimedCookie()
balanceOfUSD(address)
balanceOfUnFreezed(address)
balanceOfUnTimeLocked(address)
balanceOfUnclaimed(address)
balanceOfUnderlying(address)
balanceOfUnderlying(address,address)
balanceOfUnderlying(uint256)
balanceOfUnlockTokens(address)
balanceOfUnlocked(address)
balanceOfUser(address)
balanceOfUsers(address[])
balanceOfVoting(address)
balanceOfWei(address)
balanceOfWithDelegated(address)
balanceOfWithoutLocked(address)
balanceOfWithoutReceived(address)
balanceOfZero()
balanceOf_(address)
balanceOf_eth(address)
balanceOf_multi(address,address)
balanceOfa(address)
balanceOfvault()
balanceOnHold(address)
balanceP(address)
balancePrivate(address)
balanceReal()
balanceReceived(address)
balanceRecords(address,uint256)
balanceRecordsCount(address)
balanceRefundable(address,address)
balanceSheet()
balanceSheetContract()
balanceSheetOfStrategy(address)
balanceSpot(address)
balanceTeam()
balanceTimeOf(address)
balanceTo(address)
balanceToWithdraw()
balanceToken()
balanceToken(address)
balanceTotal()
balanceTreasury()
balanceUnderlying()
balanceUnlocked(address)
balanceUpdatesCount(address)
balanceVault()
balanceVested(address)
balanceWant()
balanceWinPoolForSecondStage()
balanceWinPoolForThirdStage()
balanceWinPoolToTeam()
balanceWinPoolToWinSystem()
balanceWosPoolForSecondStage()
balanceWosPoolForThirdStage()
balanceWosPoolToTeam()
balanceWosPoolToWosSystem()
balance_(address)
balance_in_work()
balance_to_sell()
balance_wirthdraw()
balancefrozen(address)
balancefrozenTime(address)
balanceof(address)
balancer()
balances()
balances(address)
balances(address,address)
balances(address,uint256)
balances(uint256)
balances(uint256,address)
balancesAddressDescription(address)
balancesAddressDescriptionUpdate(string)
balancesAndMultipliers(address,address)
balancesCanSell(address)
balancesCannotSell(address)
balancesContract()
balancesCrowd(address)
balancesDB()
balancesGetBool(uint256)
balancesGetNext(uint256)
balancesGetValue(uint256)
balancesHold(address)
balancesInitialized()
balancesListAddressMap(uint256)
balancesListNumberMap(address)
balancesLocked()
balancesLocked(address,uint256)
balancesMain(address)
balancesMinted(address)
balancesMintedByType(address,uint256)
balancesNFT(address,address)
balancesOf(address)
balancesOf(address[])
balancesPrivate(address)
balancesQuantity()
balancesStart()
balancesToken(address)
balancesUSD(address)
balancesUploaded()
balancesVault(address)
balances_(address)
balances_available_for_crowdsale()
balances_in_work(uint256)
balancess(address,uint256)
balancess(uint256)
balancetl(uint256,address)
get()
get(address)
get(string)
get(uint256)
get0xUNI(address)
getA()
getADAIAPR()
getAI42IndexValue()
getAMPLBorrowData()
getAPRs()
getAPTEthValue(uint256)
getAPTValue(uint256)
getAPY()
getAPYStake(uint256)
getAPYSwap(uint256)
getATAddress()
getATMHoldersNumber()
getATMTotalSupply()
getAave()
getAaveAPR(address)
getAaveCore()
getAaveOracle()
getAaveTokenRate(address)
getAcceptTransferFeeAddress()
getAcceptance(address)
getAccessor()
getAccount(address)
getAccountAddress(uint256)
getAccountBalance(address)
getAccountByLuhn(uint256,uint256)
getAccountCount()
getAccountCreationFee()
getAccountCreator()
getAccountData()
getAccountData(address)
getAccountFreezedInfo(address)
getAccountInfo()
getAccountInfo(address)
getAccountIsLockedCount()
getAccountList()
getAccountLockState()
getAccountLockState(address)
getAccountQuantity()
getAccountReward(address)
getAccountRewardByIdx(uint256)
getAccountRewards(address)
getAccountScore(address)
getAccountSnapshot(address)
getAccountSpecific(address)
getAccountStakes()
getAccountState(address)
getAccountStats(address)
getAccountStatus(address)
getAccountTradeCount(address)
getAccountTradesIndexs(address)
getAccountUnlockTime(address)
getAccountUnstakedTotal()
getAccountVotes(address,uint256)
getAccounts()
getAccounts(uint256,uint256)
getAccountsCount()
getAccountsLength()
getAccruedValue(address)
getAccumulated()
getActionContract(address)
getActionId(bytes4)
getActiveAmount()
getActiveAuctions()
getActiveContracts()
getActiveInitialFunds()
getActiveMiner()
getActiveStakesById(uint256)
getActualBuyLimit()
getActualTokenPrice()
getActualTokensPerEther()
getAdArticles()
getAdScores()
getAdapter(address)
getAddListSize()
getAddOnComplete(uint16)
getAddOnNeeded(uint16)
getAddOnSupport(uint16)
getAddrByReason(bytes32)
getAddrInfo(address)
getAddrPledgeCount(address)
getAddreesPir(string)
getAddress()
getAddress(address)
getAddress(address,string)
getAddress(bytes32)
getAddress(uint256)
getAddressActiveChildrenCount(address)
getAddressAndBalance(address)
getAddressAt(uint256)
getAddressAtRow(uint256)
getAddressBalance(address)
getAddressBurnMultiplier(address)
getAddressByID(uint256)
getAddressById(uint256)
getAddressCompostMultiplier(address)
getAddressCount()
getAddressDetails(address)
getAddressExist(address)
getAddressFromList(uint256)
getAddressFromReferralName(string)
getAddressIndex(uint256)
getAddressInfo(address)
getAddressKYCState(address)
getAddressLength()
getAddressLevel()
getAddressList()
getAddressLock(uint256)
getAddressLockType(address)
getAddressLockedLength(address)
getAddressLockupAmount(address)
getAddressMaturityMultiplier(address)
getAddressMythicStakeAmount(address)
getAddressNumber()
getAddressPpblzStakeAmount(address)
getAddressProfitLevel(address)
getAddressProfitNum(address)
getAddressRatio(address)
getAddressSize()
getAddressStakeAmount(address)
getAddressStakeAmountLP(address)
getAddressStatus(address)
getAddressTimeMultiplier(address)
getAddressToken()
getAddressTokenDetails(address)
getAddressTokenSaleId(address)
getAddressTransferAbility(address)
getAddressUniV2StakeAmount(address)
getAddresses()
getAddressesWithPermissions()
getAddrs()
getAdjustedValueDate(address,uint256)
getAdmin()
getAdminAccounts()
getAdminAddress()
getAdminAddress(uint256)
getAdminAddresses(string)
getAdminCommission()
getAdminFee()
getAdminLevel(address)
getAdminMembers()
getAdminStatus(address)
getAdminTransferLogItem(uint32)
getAdminTransferLogSize()
getAdministerList()
getAdmins()
getAdrByIndex(uint256)
getAdvertLeaderboard(uint256)
getAff(address)
getAffLength(address)
getAffiliate(address)
getAffiliateInfo(address)
getAffiliateSender(bytes32)
getAffiliateSenderPosAmount(uint256)
getAffiliateSenderPosCode(uint256)
getAfterIcoPeriod(uint256)
getAgreementById(uint256)
getAgreementCount()
getAgreementSetById(uint256)
getAgreementSetCount()
getAirDropTokens()
getAirDropedToday()
getAirdrop()
getAirdrop(address)
getAirdropListStatus(address)
getAirdropTokens()
getAirdropp(address)
getAirdrops()
getAirdrops(uint256)
getAlchemyCallerFee()
getAlchemyInterval()
getAll()
getAllAcountUnstakes()
getAllAddress()
getAllAllowlistedInvestors()
getAllAssignedBalance(address)
getAllAvailableTokens()
getAllBalance(address)
getAllBlacklist()
getAllBuyers()
getAllCoins()
getAllDocuments()
getAllFailedInvestmentsCollected()
getAllFarmAddress()
getAllFreezeStatus()
getAllFunding()
getAllGiftTemplateIds()
getAllHolder()
getAllInv()
getAllInvestmentsCollected()
getAllInvestmentsWithdrawnBack()
getAllInvestmentsWithdrawnByBeneficiary()
getAllInvestmentsWithdrawnByOwner()
getAllInvestor()
getAllLPsByUser(address)
getAllLockupPeriods()
getAllMetadata()
getAllMinters()
getAllMyTokensForAllEtherOnContract()
getAllNFTTokens()
getAllOwners()
getAllPacks()
getAllParticipantAddresses()
getAllPoolInETH(uint256)
getAllPoolInUSD()
getAllPosts()
getAllPrices()
getAllReward()
getAllRewards()
getAllRewards(address)
getAllRounds()
getAllSaleAddressesBySaleID(uint256)
getAllScalingFundsAgents()
getAllSuccessInvestmentsCollected()
getAllSuggestionCreators()
getAllSupportedUnderlyings()
getAllTheFunds()
getAllTickets()
getAllTokenAddresses()
getAllTokenHolders()
getAllTokenSold()
getAllTransferAgents()
getAllTransfersLockStatus()
getAllUsers()
getAllVanities()
getAllVotes()
getAllWhitelist()
getAllocatedLP(address)
getAllocation(address)
getAllocations()
getAllowApprove()
getAllowBurnsFrom(address)
getAllowFrom(address)
getAllowGroupTransferTime(uint256,uint256)
getAllowTo(address)
getAllowTransferTime(address,address)
getAllowance()
getAllowance(address,address)
getAllowances(address,address)
getAllowedBalance(address)
getAllowedContracts()
getAllowedContracts(bool,uint256,uint256)
getAllowedContractsCount()
getAllowedContractsLength(bool)
getAllowedForTransferTokens(address)
getAllowedToMine(address)
getAllowedToTransfer(address)
getAllprofits(address)
getAltMaxAvailable(address)
getAmount(uint256)
getAmount(uint256,address)
getAmountBonus(uint256)
getAmountBonus(uint256,uint256)
getAmountClaimable(address)
getAmountForMinBuyTax()
getAmountIn(address,uint256)
getAmountIn(uint256,uint256,uint256)
getAmountInAsset0Terms(uint256)
getAmountInAsset1Terms(uint256)
getAmountInFinal(address,uint256)
getAmountInFromValue(uint256)
getAmountInMarket(address,uint256)
getAmountInPool(address,uint256)
getAmountInReserve()
getAmountOfEtherSell(uint256)
getAmountOfFreeStakes()
getAmountOfLinkerBuy(uint256)
getAmountOfSecuredEther(address,uint256)
getAmountOfToken(uint256)
getAmountOfTokens(uint256)
getAmountOfUnlockedTokens(address)
getAmountOut(address,uint256)
getAmountOut(uint256,bool)
getAmountOut(uint256,uint256,uint256)
getAmountOutFinal(address,uint256)
getAmountOutFromValue(uint256)
getAmountOutMarket(address,uint256)
getAmountOutPool(address,uint256)
getAmountOwed(address)
getAmountPlusFee(uint256)
getAmountSoldAfterPowerDay()
getAmountToIssue(uint256)
getAmountWithBonus(uint256)
getAmountofTotalParticipants()
getAmounts()
getAmounts(address)
getAmountsAndTypesFromDiamondTransaction(uint256)
getAmountsForLiquidity(uint160,uint160,uint160,uint128)
getAmountsIn(uint256,address[])
getAmountsOut(address,address,uint256)
getAmountsOut(uint256,address[])
getAmountsToRedeem(address)
getAndUpdateDelegatedAmount(address)
getAndUpdateLockedAmount(address)
getAndUpdateSlashedAmount(address)
getAnnualFee()
getApprovalCount()
getApprovePayload(address,address,uint256,uint256,uint256)
getApprovePreSignedHash(address,address,uint256,uint256,uint256)
getApproved(uint256)
getApprovedKYC(address)
getApprovers()
getApproversOfMultiSign(address)
getApy()
getArt(string)
getArtist()
getArtistByID(uint256)
getArtistListLength()
getAsset(string)
getAsset0Price()
getAsset1Price()
getAssetAdd()
getAssetAddress()
getAssetAddresses()
getAssetBaseInfo()
getAssetById(uint256)
getAssetCount()
getAssetDetails(string)
getAssetID()
getAssetIDHash()
getAssetPrice()
getAssetProxy(bytes32)
getAssetTokenByIndex(uint256)
getAssets(address)
getAssetsAndBalances()
getAssetsValue()
getAssignedSupply()
getAssignmentTimestamp(address)
getAtomical(address,address,uint256)
getAttackRanking()
getAttoTokensAmountPerWei(uint256)
getAttoTokensAmountPerWeiInternal(uint256)
getAttoTokensBoughtInICO()
getAttoTokensLeftForICO()
getAttoTokensToBeFounder()
getAttribute(string)
getAttributes(address)
getAuctionInformation()
getAuctionPriceParameters()
getAuditHash(uint256)
getAuth()
getAuthBurn4Wis(address)
getAuthDigest(bytes32,address)
getAuthStatus(bytes32,address)
getAuthor()
getAuthorisationStatus(address)
getAuthorization()
getAuthorizedAddresses()
getAuthorizer()
getAuthorizer(uint256)
getAutoReinvestEntry()
getAutoReinvestEntryOf(address)
getAvaIcoAmount()
getAvailableBPoll()
getAvailableBalance(address)
getAvailableCoinsForCurrentStage()
getAvailableCpoll()
getAvailableDAIXWithdrawableAmount(address)
getAvailableDaiBalance()
getAvailableDeposit(uint256)
getAvailableEtherCommissions()
getAvailableFund(address)
getAvailableFunds(address)
getAvailableFundsForTheTeam()
getAvailableInvestmentsBackValue(address)
getAvailableKncBalanceTwei()
getAvailableNewKncBalanceTwei()
getAvailableNodeAmount(address)
getAvailableReward()
getAvailableRewards(address)
getAvailableSupply()
getAvailableTeamReward()
getAvailableTokensToSellCurrentPhaseIdx(uint256)
getAvailableTokensToSellTillPhaseIdxValue(uint256)
getAvailableTpoll()
getAvailableWithdrawInvestmentsForBeneficiary()
getAvailableWithdrawInvestmentsForOwner()
getAvailableWithdrawProfitValue(address)
getAvailablelockAmount(address,uint256)
getAverageBalance(address)
getAverageStableRate()
getAverageTokenPrice(address)
getAvgAPR()
getAvgReportingGasPrice()
getAward()
getB(address)
getB10ByIndex(uint256)
getB10Index(address)
getB10ValueGLDS(address)
getB20ByIndex(uint256)
getB20Index(address)
getB20ValueGLDS(address)
getB25ByIndex(uint256)
getB25Index(address)
getB25ValueGLDS(address)
getBAEFeeAddress()
getBCDTRateForCurrentRound()
getBIB()
getBListStatus(address)
getBPollInfo()
getBPool()
getBSBalance(address)
getBTCPrice()
getBackForBlacklist(address)
getBackToken(address,address,uint256)
getBakeAmount()
getBal()
getBalance()
getBalance(address)
getBalance(address,address)
getBalance(address,uint256)
getBalance(bytes32)
getBalance(uint256)
getBalance(uint8,address)
getBalance0()
getBalance1()
getBalanceAddr(uint256)
getBalanceAndHolderByIndex(uint256,address)
getBalanceBal()
getBalanceBip32X(address,uint256)
getBalanceBp()
getBalanceBpOf(address)
getBalanceByAccount(string)
getBalanceByAddress(address)
getBalanceByIndex(uint256,address)
getBalanceContract()
getBalanceData(address)
getBalanceEthSmartContract()
getBalanceEther()
getBalanceFLAMA()
getBalanceFLAPP()
getBalanceForAddition(address)
getBalanceForRemoval(address)
getBalanceFrom(address)
getBalanceFromOwner()
getBalanceIco()
getBalanceIn()
getBalanceInEth(address)
getBalanceInOf(address)
getBalanceLux()
getBalanceModificationRounds(address)
getBalanceOf()
getBalanceOf(address)
getBalanceOfAccount(address)
getBalanceOfContract()
getBalanceOfMultiSign(address)
getBalanceP()
getBalancePremiumsPaid(address)
getBalancePumpkin()
getBalanceSize()
getBalanceSnapshot(address,uint256)
getBalanceTAI()
getBalanceToMint(address)
getBalanceTrieKey(address)
getBalanceValue(address)
getBalancerAddress()
getBalancerSafeMathVersion()
getBalances()
getBalancesAndMaxLimit()
getBalancesList(uint8)
getBalancesOfAddress(address)
getBalorBalrenmal()
getBanStatus(address)
getBancorNetworkContract()
getBankroll()
getBase()
getBaseAmount(uint256)
getBaseData()
getBaseExerciseData(uint256)
getBaseFees()
getBaseInput()
getBaseLockTime()
getBasePosition()
getBasePrice()
getBaseRate()
getBaseSlab()
getBaseToTokenInputPrice(uint256)
getBaseToTokenOutputPrice(uint256)
getBaseToTokenPrice(uint256)
getBaseToken()
getBaseTokenAddress()
getBaseTokenURI()
getBaseValue()
getBaseWrappedAmount()
getBasicBuyPrice()
getBasicIncome()
getBasket()
getBasketManager()
getBasset(address)
getBassets()
getBatch(address,uint256)
getBatchTransfer(address)
getBbAddress(address)
getBeaconStat()
getBeginDeflationary()
getBeneficialAddress()
getBeneficiary()
getBeneficiary(address)
getBeneficiaryById(address,uint256)
getBeneficiaryByTime(address,uint256)
getBeneficiaryTrusts(address)
getBet(uint256)
getBetRecord(uint256)
getBetSizeBonus(uint256,uint256)
getBetting(uint256,address)
getBidPrice(uint256)
getBiddingParameters()
getBigJackpot()
getBigPayDay()
getBigPayDayPercentage()
getBigPoint()
getBiggestholders()
getBindAccountAddress(string)
getBindAddressAccount(address)
getBip32XTypeForContractAddress(address)
getBlackListStatus(address)
getBlacklist()
getBlacklist(uint256)
getBlacklistByUser(address)
getBlacklistLength()
getBlacklistedAddressAt(uint256)
getBlacklistedAddresses()
getBlacklistedAddressesCount()
getBlacklistedCount()
getBlacklistedStatus(address)
getBlacklistedsLength()
getBlock()
getBlockAmount(address)
getBlockAmount(uint256)
getBlockCount()
getBlockCountSinceLastIntreraction(address)
getBlockData(uint256)
getBlockDifference()
getBlockHashAlgoritm(uint256)
getBlockLPETHPrice(uint256)
getBlockLPUSDTPrice(uint256)
getBlockList()
getBlockMiner(uint256)
getBlockNum()
getBlockNumber()
getBlockOf(address)
getBlockReward(uint256,uint256)
getBlockStaked(address)
getBlockTime()
getBlockTimestamp()
getBlockTotalDepositsLPETH(uint256)
getBlockTotalDepositsLPUSDT(uint256)
getBlockTotalDepositsMALW(uint256)
getBlockedAccount(uint256)
getBlockedAccountCount()
getBlockedAddressCount()
getBlockedAddressForSending()
getBlockedAddressList()
getBlockerOperatorsContract()
getBlockerOperatorsPending()
getBlocktime()
getBoardMember(address)
getBondGroupIDFromTermAndPrice(uint256,uint256)
getBondGroupIdFromStrikePrice(uint256,uint256)
getBondOwner(uint256)
getBondPremium(uint256)
getBondPrice(uint256)
getBondsForEther(uint256)
getBonus()
getBonus(address)
getBonus(address,uint256)
getBonus(uint256)
getBonus(uint256,uint256)
getBonusAmount(address)
getBonusAmount(uint256,uint256)
getBonusBalance(address)
getBonusByDate()
getBonusByTime()
getBonusByTime(uint256)
getBonusFactor(uint256,uint256)
getBonusFromLegend()
getBonusMultiplierAt(uint256)
getBonusNoDecimals()
getBonusPercentage(uint256)
getBonusPool()
getBonusSetter()
getBonusStakesPermanently(address)
getBonusTokens(uint256)
getBonusUnlockAt()
getBonusUnlockTime(address)
getBonuses(uint256)
getBonustwo(uint256)
getBook()
getBooked()
getBool(bytes32)
getBoostLevel(uint256)
getBorrowAmount(uint256,uint256,bool)
getBorrowAmountForDeposit(uint256,uint256,address)
getBorrowAmountForDeposit(uint256,uint256,uint256,address)
getBorrowAmountForDeposit(uint256,uint256,uint256,address,bool)
getBorrowAmountGive()
getBorrowDebt(address)
getBorrowInterest(address)
getBorrowRate()
getBorrowSnapshot(address)
getBoughtTokensByCurrentPrice()
getBounsByAmount(uint256,uint256)
getBounties()
getBounty()
getBountyAddress()
getBountyAmount()
getBountyTransfers(uint256)
getBoxReward()
getBoxSummary(uint256)
getBridgeInterfacesVersion()
getBridgeMode()
getBroker(address)
getBroom(address)
getBrrAmount()
getBtcPoolAddress()
getBtcToAmfRatio()
getBudget(address)
getBufferBalance()
getBufferToken0Balance()
getBufferToken1Balance()
getBufferTokenBalance()
getBufferedEther()
getBullFort()
getBundinha()
getBurn()
getBurn(uint256)
getBurnAddress()
getBurnAddresses()
getBurnAmount()
getBurnAmountPrevious()
getBurnCount()
getBurnCycle()
getBurnDelegates()
getBurnEnabled()
getBurnFee()
getBurnFeeRate()
getBurnLimit()
getBurnLine()
getBurnPct()
getBurnPercent()
getBurnPercent(address)
getBurnPercent(uint256)
getBurnPercentValue(uint256)
getBurnPercentage()
getBurnPercentage(address,address,uint256)
getBurnPoolAddress()
getBurnPoolAddress(string)
getBurnPoolAmount()
getBurnPoolAmountPrevious()
getBurnPrice()
getBurnRate()
getBurnRate(address)
getBurnRate(address,uint256)
getBurnRate(uint256)
getBurnRatePerThousandth()
getBurnRateReciprocal()
getBurnValue()
getBurnValue(address,uint256)
getBurnValuePortions(address,uint256)
getBurned()
getBurned(address)
getBurnedAmountTotal()
getBurnedStablecoin(address)
getBurnedTokensReceiver()
